名称|@| 修改类型|@| 修改数量|@| 修改后数量|@| 操作员工姓名|@| 操作员工ID|@| 修改时间  
香|@| add|@| 113|@| 113|@| 陈|@| root|@| 2024-12-16 08:30:00  
蜡烛|@| add|@| 214|@| 214|@| 张三|@| 001|@| 2024-12-16 08:35:00  
供果|@| add|@| 43|@| 43|@| 李四|@| 002|@| 2024-12-16 08:40:00  
法器|@| add|@| 22|@| 22|@| 王五|@| 003|@| 2024-12-16 08:45:00  
经书|@| add|@| 42|@| 42|@| 赵六|@| 004|@| 2024-12-16 08:50:00  
佛像清洁布|@| add|@| 27|@| 27|@| 孙七|@| 005|@| 2024-12-16 08:55:00  
油灯|@| add|@| 17|@| 17|@| 周八|@| 006|@| 2024-12-16 09:00:00  
茶水|@| add|@| 61|@| 61|@| 吴九|@| 007|@| 2024-12-16 09:05:00  
供花|@| add|@| 36|@| 36|@| 郑十|@| 008|@| 2024-12-16 09:10:00  
僧衣|@| add|@| 10|@| 10|@| 冯十一|@| 009|@| 2024-12-16 09:15:00  
香B|@| remove|@| 50|@| 63|@| 陈|@| root|@| 2024-12-16 09:20:00  
蜡烛B|@| add|@| 50|@| 264|@| 张三|@| 001|@| 2024-12-16 09:25:00  
供果B|@| add|@| 31|@| 74|@| 李四|@| 002|@| 2024-12-16 09:30:00  
法器B|@| remove|@| 10|@| 12|@| 王五|@| 003|@| 2024-12-16 09:35:00  
经书B|@| add|@| 40|@| 82|@| 赵六|@| 004|@| 2024-12-16 09:40:00  
佛像清洁布B|@| add|@| 26|@| 53|@| 孙七|@| 005|@| 2024-12-16 09:45:00  
油灯B|@| remove|@| 5|@| 12|@| 周八|@| 006|@| 2024-12-16 09:50:00  
茶水B|@| add|@| 60|@| 121|@| 吴九|@| 007|@| 2024-12-16 09:55:00  
供花B|@| add|@| 35|@| 71|@| 郑十|@| 008|@| 2024-12-16 10:00:00  
僧衣B|@| remove|@| 5|@| 5|@| 冯十一|@| 009|@| 2024-12-16 10:05:00  
香C|@| add|@| 100|@| 200|@| 陈|@| root|@| 2024-12-16 10:10:00  
蜡烛C|@| add|@| 50|@| 314|@| 张三|@| 001|@| 2024-12-16 10:15:00  
供果C|@| add|@| 30|@| 104|@| 李四|@| 002|@| 2024-12-16 10:20:00  
法器C|@| remove|@| 5|@| 7|@| 王五|@| 003|@| 2024-12-16 10:25:00  
经书C|@| add|@| 40|@| 122|@| 赵六|@| 004|@| 2024-12-16 10:30:00  
佛像清洁布C|@| add|@| 25|@| 78|@| 孙七|@| 005|@| 2024-12-16 10:35:00  
油灯C|@| remove|@| 5|@| 7|@| 周八|@| 006|@| 2024-12-16 10:40:00  
茶水C|@| add|@| 60|@| 181|@| 吴九|@| 007|@| 2024-12-16 10:45:00  
供花C|@| add|@| 35|@| 106|@| 郑十|@| 008|@| 2024-12-16 10:50:00  
僧衣C|@| remove|@| 5|@| 0|@| 冯十一|@| 009|@| 2024-12-16 10:55:00  
香D|@| add|@| 100|@| 300|@| 陈|@| root|@| 2024-12-16 11:00:00  
蜡烛D|@| add|@| 50|@| 364|@| 张三|@| 001|@| 2024-12-16 11:05:00  
供果D|@| remove|@| 10|@| 94|@| 李四|@| 002|@| 2024-12-16 11:10:00  
法器D|@| add|@| 20|@| 27|@| 王五|@| 003|@| 2024-12-16 11:15:00  
经书D|@| add|@| 40|@| 162|@| 赵六|@| 004|@| 2024-12-16 11:20:00  
佛像清洁布D|@| add|@| 25|@| 103|@| 孙七|@| 005|@| 2024-12-16 11:25:00  
油灯D|@| remove|@| 5|@| 2|@| 周八|@| 006|@| 2024-12-16 11:30:00  
茶水D|@| add|@| 60|@| 241|@| 吴九|@| 007|@| 2024-12-16 11:35:00  
供花D|@| add|@| 35|@| 141|@| 郑十|@| 008|@| 2024-12-16 11:40:00  
僧衣D|@| remove|@| 5|@| -5|@| 冯十一|@| 009|@| 2024-12-16 11:45:00  
香E|@| add|@| 100|@| 400|@| 陈|@| root|@| 2024-12-16 11:50:00  
蜡烛E|@| add|@| 50|@| 414|@| 张三|@| 001|@| 2024-12-16 11:55:00  
供果E|@| add|@| 30|@| 124|@| 李四|@| 002|@| 2024-12-16 12:00:00  
法器E|@| add|@| 20|@| 47|@| 王五|@| 003|@| 2024-12-16 12:05:00  
经书E|@| add|@| 40|@| 202|@| 赵六|@| 004|@| 2024-12-16 12:10:00  
佛像清洁布E|@| add|@| 25|@| 128|@| 孙七|@| 005|@| 2024-12-16 12:15:00  
油灯E|@| remove|@| 5|@| -3|@| 周八|@| 006|@| 2024-12-16 12:20:00  
茶水E|@| add|@| 60|@| 301|@| 吴九|@| 007|@| 2024-12-16 12:25:00  
供花E|@| add|@| 35|@| 176|@| 郑十|@| 008|@| 2024-12-16 12:30:00  
僧衣E|@| remove|@| 5|@| -10|@| 冯十一|@| 009|@| 2024-12-16 12:35:00  
蜡烛|@| remove|@| 1|@|  225|@| 李大|@| 1234|@| 2024-12-17 13:44:53.676240
香|@| remove|@| 1|@|  113|@| 李大|@| 1234|@| 2024-12-17 13:45:25.646588
蜡烛|@| add|@| 1|@|  226|@| 李大|@| 1234|@| 2024-12-17 13:45:35.261293
香|@| add|@| 1|@|  114|@| 陈|@| root|@| 2024-12-18 23:15:26.537416
香|@| add|@| 1|@|  114|@| 陈|@| root|@| 2024-12-18 23:22:07.786163
香|@| add|@| 1|@|  114|@| 陈|@| root|@| 2024-12-18 23:26:13.060878
经书|@| add|@| 1|@|  45|@| 陈|@| root|@| 2024-12-18 23:27:56.226147
经书|@| remove|@| 1|@|  44|@| 陈|@| root|@| 2024-12-18 23:28:03.893607
供花|@| add|@| 1|@|  37|@| 陈|@| root|@| 2024-12-18 23:31:48.896772
法器C|@| add|@| 1|@|  21|@| 陈|@| root|@| 2024-12-18 23:32:03.032415
佛像|@| remove|@| 1|@|  22|@| 陈|@| root|@| 2024-12-19 00:56:43.031473
大佛像|@| add|@| 23|@| 23|@| 陈|@| root|@| 2024-12-19 12:28:28.247104
大佛像2|@| add|@| 1234|@| 1234|@| 陈|@| root|@| 2024-12-19 12:32:13.464597
大佛像2|@| remove|@| 1234|@| 0|@| 陈|@| root|@| 2024-12-19 20:33:02.121434
